Entry Price,Sell Price,Quantity,PnL,Trade Duration (s),Trade Date Time,Sell Reason,Percent of Trade,Highest Price Reached,Earnings with Highest Price (%),Lowest Price Reached,Lowest Price under Buy Price (%),Long / Short,Earnings Total,Earnings per Trade,Percent per Trade,Profit per year,Profit with ...,50
152.34,152.56,0.179,0.02366746592,45.94,2025-11-04T20:57:19.748Z,profit target reached,0.03605501758,152.535,0.0704,152.135,-0.1346,long,,,,,,
152.73,152.72,0.179,-0.01395681616,233.22,2025-11-04T21:06:06.484Z,profit target reached,-0.02131624532,153.995,0.8864,152.565,0.8283,short,,,,,,
151.54,151.69,0.17,0.0106575312,39.43,2025-11-04T21:19:14.105Z,profit target reached,0.01615042278,151.685,0.0381,151.445,-0.0627,long,,,,,,
148.16,147.91,0.179,-0.06001944464,24.76,2025-11-04T21:37:06.354Z,profit target reached,-0.08892480918,148.395,0.101,148.125,-0.0236,long,,,,,,
148.04,147.89,0.179,0.01159035024,23.9,2025-11-04T21:41:55.584Z,profit target reached,0.0171583545,148.225,0.1827,147.865,0.125,short,,,,,,
148.04,148.35,0.179,0.04021849328,8.4,2025-11-04T21:45:19.399Z,profit target reached,0.05953945745,148.335,0.1416,148.035,-0.0034,long,,,,,,
155.07,155.23,0.17,0.0120116288,86.68,2025-11-04T23:44:23.185Z,profit target reached,0.01862643278,155.235,0.0488,154.905,-0.1064,long,,,,,,
154.59,154.39,0.17,0.0188674432,625.07,2025-11-05T00:15:03.240Z,profit target reached,0.02916718044,154.995,0.3198,154.385,0.262,short,,,,,,
155.06,155.14,0.17,-0.0015854336,34.67,2025-11-05T00:20:05.177Z,profit target reached,-0.00245837334,155.335,0.1197,154.975,-0.0548,long,,,,,,
154.3,154.12,0.17,0.0154953504,33.83,2025-11-05T00:26:23.039Z,profit target reached,0.02390932567,154.395,0.1192,154.115,0.0616,short,,,,,,
152.57,152.34,0.17,0.024165976,91.73,2025-11-05T01:04:23.513Z,profit target reached,0.03687002958,152.735,0.1658,152.305,0.1081,short,,,,,,
149.08,149.26,0.17,0.01599768,44.73,2025-11-05T01:47:48.706Z,profit target reached,0.02384934134,149.26,0.0631,148.985,-0.0637,long,,,,,,
156.16,156.01,0.17,0.0102124848,80.66,2025-11-05T04:23:55.358Z,profit target reached,0.01594781626,156.205,0.0865,156.005,0.0288,short,,,,,,
156.57,156.72,0.17,0.0101649936,28.53,2025-11-05T04:36:50.384Z,profit target reached,0.01591533048,156.725,0.0414,156.565,-0.0032,long,,,,,,
156.91,156.76,0.17,0.0101390448,186.11,2025-11-05T04:57:13.639Z,profit target reached,0.0159091752,157.015,0.1246,156.755,0.0669,short,,,,,,
157.64,157.8,0.17,0.0117599744,50.01,2025-11-05T05:10:56.480Z,profit target reached,0.01853842364,157.815,0.0534,157.395,-0.1554,long,,,,,,
157.47,157.31,0.17,0.0117844544,148.7,2025-11-05T05:25:15.514Z,profit target reached,0.01855698034,157.715,0.2133,157.315,0.1556,short,,,,,,
157.42,157.56,0.17,0.0083820064,54.84,2025-11-05T06:19:20.314Z,profit target reached,0.01319495447,157.585,0.0472,157.41,-0.0064,long,,,,,,
156.76,156.6,0.17,0.0118539776,34.11,2025-11-05T06:23:51.891Z,profit target reached,0.01858229529,156.785,0.0736,156.595,0.0159,short,,,,,,
157.54,157.71,0.17,0.0134695216,17.58,2025-11-05T06:33:34.817Z,profit target reached,0.02121988433,157.715,0.0535,157.515,-0.0159,long,,,,,,
157.03,156.88,0.17,0.0101272944,81.31,2025-11-05T06:40:45.519Z,profit target reached,0.0159028904,157.085,0.0927,156.875,0.035,short,,,,,,
157.69,157.83,0.17,0.008355568,97.14,2025-11-05T06:53:54.358Z,profit target reached,0.01317589518,157.835,0.0343,157.685,-0.0032,long,,,,,,
157.31,157.19,0.17,0.0049991424,38.74,2025-11-05T07:06:19.213Z,profit target reached,0.007864150909,157.345,0.0799,157.185,0.0222,short,,,,,,
154.72,154.86,0.17,0.0086463904,12.63,2025-11-05T08:31:50.836Z,profit target reached,0.01337769523,154.865,0.0361,154.715,-0.0032,long,,,,,,
154.6,154.46,0.17,0.0086649952,55.62,2025-11-05T08:47:05.122Z,profit target reached,0.01339608258,154.755,0.1579,154.455,0.1003,short,,,,,,
155.43,155.69,0.17,0.0289739296,24.21,2025-11-05T08:50:57.133Z,profit target reached,0.04503417878,155.695,0.1128,155.4,-0.0193,long,,,,,,
156.32,156.1,0.17,0.0220985312,223.08,2025-11-05T10:11:07.732Z,profit target reached,0.03454442397,156.77,0.3457,156.105,0.2879,short,,,,,,
155.57,155.74,0.17,0.013662424,28.6,2025-11-05T11:06:39.411Z,profit target reached,0.02125463302,155.745,0.0549,155.565,-0.0032,long,,,,,,
157.67,157.46,0.17,0.0202660944,376,2025-11-05T12:52:47.146Z,profit target reached,0.03195355104,157.935,0.2258,157.505,0.1681,short,,,,,,
158.39,158.48,0.17,-0.000211752,60.05,2025-11-05T13:02:49.972Z,profit target reached,-0.0003353939928,158.515,0.0213,158.315,-0.0474,short,,,,,,
157.75,157.61,0.17,0.0083565472,298.36,2025-11-05T13:15:29.021Z,profit target reached,0.01318245321,157.845,0.1179,157.625,0.0602,long,,,,,,
158.35,158.48,0.17,0.0065911856,576.37,2025-11-05T13:38:42.272Z,profit target reached,0.0104371424,158.475,0.0213,158.045,-0.1926,long,,,,,,
158.87,158.72,0.17,0.0099471216,122.76,2025-11-05T14:10:25.382Z,profit target reached,0.01580299209,158.965,0.1175,158.715,0.0598,short,,,,,,
